2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.98568,0.98583,0.986,0.98721,0.98902,0.99019,0.99078,0.99208,0.99351,0.99427,0.99475,0.99515,0.99562,0.99614,0.99661,0.99696,65-69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.97911,0.97871,0.9787,0.97885,0.98062,0.98331,0.98499,0.98583,0.98778,0.98992,0.99104,0.99172,0.99229,0.99301,0.99388,0.99459,70-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.97281,0.97043,0.96955,0.96925,0.96942,0.97185,0.97542,0.97763,0.97876,0.98148,0.98451,0.98604,0.98696,0.9878,0.98896,0.99022,75-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96738,0.96398,0.96075,0.95921,0.95854,0.95874,0.96158,0.96574,0.96826,0.96956,0.97308,0.97697,0.97889,0.9801,0.98135,0.98287,80-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96326,0.95933,0.95496,0.95097,0.94879,0.94774,0.9478,0.95068,0.95488,0.9573,0.95869,0.9628,0.96733,0.9696,0.97119,0.97255,85-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96131,0.95687,0.95204,0.94715,0.94307,0.94067,0.93942,0.93971,0.94238,0.94571,0.94763,0.94932,0.95364,0.95811,0.96052,0.96187,90-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96063,0.95591,0.95075,0.94551,0.94084,0.93724,0.93479,0.93382,0.93437,0.93576,0.93724,0.93875,0.94098,0.94408,0.94725,0.94907,95+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  77 100,  71 652,  69 186,  67 937,  66 990,  64 980,  62 592,  60 244,  58 271,  56 778,  55 414,  54 027,  52 411,  50 700,  49 117,  47 740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.35669,4.96128,4.77645,4.67842,4.60334,4.45707,4.28687,4.12125,3.98281,3.8786,3.78423,3.68931,3.57968,3.46437,3.35852,3.26743,pop_growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
